name,phonenumber,email
Mavayya,9490535777,sanjay@gmail.com
Attha,9492566990,sanjay@gmail.com
CURRENT OFFICE (TANUKU),9492566991,sanjay@gmail.com
YSR Sir(Tirumala),9492566992,sanjay@gmail.com
RBI Hyderabad,9492566993,sanjay@gmail.com
RBI Hyderabad FFMC (Official),9492566994,sanjay@gmail.com
Sanjay Narkedamilli,9492566995,sanjay@gmail.com
Indus Infoscripts(FFMC SOFTWARE),9492566996,sanjay@gmail.com
RBI FFMC Advisor (Praveen),9492566997,sanjay@gmail.com
Caliinfo systems(Kishore),9492566998,sanjay@gmail.com
Auditor(Whatsapp),9492566999,sanjay@gmail.com
Auditor,9492567000,sanjay@gmail.com
Auditor Assistant Whatsapp,9492567001,sanjay@gmail.com
HDFC Kaja,9492567002,sanjay@gmail.com
K K Prasad (RBI FED Manager),9492567003,sanjay@gmail.com
